DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (11.911177 10.315382 9.7254353) with tilt (-5.9555885 -5.9555885 3.4384606)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:221)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  112 atoms
  read_data CPU = 0.016 seconds
16 atoms in group Li
32 atoms in group Mn
64 atoms in group O
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.8
  ghost atom cutoff = 6.8
  binsize = 3.4, bins = 8 5 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton/tri
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 9.187 | 9.187 | 9.187 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press            Lx             Ly             Lz      
         0   300           -213.33463      4.3043628     -209.03026     -8364.2465      11.911177      10.315382      9.7254353    
       100   187.20646     -211.7203       2.686015      -209.03428     -19028.155      11.909325      10.31388       9.7242458    
       200   193.08524     -211.81612      2.7703631     -209.04576     -1869.1546      11.903362      10.308863      9.7201462    
       300   252.70351     -212.6858       3.6257587     -209.06004     -15941.418      11.894465      10.301553      9.7135139    
       400   201.53966     -211.96809      2.891666      -209.07642     -52.870658      11.882824      10.29176       9.7044828    
       500   222.85787     -212.28512      3.1975371     -209.08759     -6764.0064      11.869279      10.280701      9.6941277    
       600   220.35833     -212.25284      3.161674      -209.09116      940.26558      11.854809      10.268415      9.6827851    
       700   205.4643      -212.03559      2.9479764     -209.08761      2508.385       11.840602      10.25595       9.6713295    
       800   238.68757     -212.49996      3.4246596     -209.07531      5459.9631      11.827618      10.243965      9.6603599    
       900   214.93043     -212.14242      3.0837952     -209.05863      8665.5103      11.816792      10.233445      9.6504717    
      1000   229.53844     -212.3351       3.2933891     -209.04171      8684.9419      11.808193      10.22547       9.6421689    
      1100   222.23801     -212.21546      3.1886434     -209.02682      12202.118      11.802449      10.219936      9.6362385    
      1200   204.51956     -211.95234      2.9344213     -209.01792      10636.009      11.799833      10.217304      9.6330285    
      1300   218.0137      -212.14447      3.1280336     -209.01644      14048.09       11.800083      10.217696      9.6328275    
